Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
47,CA-2023-290672,2023-08-10,2023-08-17,Standard Class,CG-73904,Customer 218,Corporate,South,Georgia,Furniture,Chairs,Global Troy Executive Chair,176.44,1,0.5,18.58
48,CA-2021-894993,2021-01-21,2021-01-26,Standard Class,CG-41499,Customer 708,Corporate,Central,Indiana,Technology,Machines,HP Designjet T520,937.22,12,0.4,-3.21
49,CA-2022-656711,2022-08-26,2022-09-02,Standard Class,CG-55056,Customer 436,Home Office,West,California,Office Supplies,Paper,Hammermill Copy Plus Paper,216.45,11,0.3,-1.74
50,CA-2022-899213,2022-09-20,2022-09-25,Standard Class,CG-34267,Customer 197,Consumer,South,North Carolina,Office Supplies,Envelopes,Wintrust Envelope Selection,441.12,6,0.0,136.75
51,CA-2022-157174,2022-02-02,2022-02-08,Standard Class,CG-82529,Customer 300,Home Office,Central,Texas,Office Supplies,Paper,Hammermill Copy Plus Paper,22.05,1,0.0,3.22
52,CA-2022-600935,2022-08-06,2022-08-12,Standard Class,CG-24953,Customer 67,Corporate,West,Arizona,Furniture,Furnishings,Eldon Jumbo Plastic Desk Accessories,260.25,1,0.2,98.73
53,CA-2024-929151,2024-02-27,2024-02-29,First Class,CG-91057,Customer 232,Home Office,East,Pennsylvania,Technology,Phones,Samsung Galaxy S6,1431.46,2,0.4,45.66
54,CA-2024-317881,2024-04-20,2024-04-21,Same Day,CG-91987,Customer 217,Corporate,Central,Kansas,Technology,Copiers,Hewlett Packard LaserJet,695.3,1,0.0,265.37
55,CA-2024-342720,2024-02-05,2024-02-10,Standard Class,CG-47762,Customer 724,Corporate,East,Pennsylvania,Office Supplies,Storage,Eldon Fold N Roll Cart,262.86,12,0.5,-16.46
56,CA-2024-378535,2024-07-04,2024-07-09,Standard Class,CG-28643,Customer 74,Consumer,East,New Jersey,Office Supplies,Paper,Xerox 1967,367.66,9,0.1,101.72
57,CA-2021-727086,2021-09-12,2021-09-18,Standard Class,CG-15224,Customer 443,Home Office,Central,Wisconsin,Furniture,Bookcases,Sauder Forest Hills,1459.52,5,0.5,-27.25
58,CA-2024-900177,2024-10-12,2024-10-16,First Class,CG-32962,Customer 482,Home Office,West,Washington,Technology,Machines,Brother Intelli-Fax 4750E,573.54,1,0.2,144.35
59,CA-2023-436653,2023-06-12,2023-06-16,Second Class,CG-97835,Customer 108,Consumer,East,Massachusetts,Office Supplies,Paper,Hammermill Copy Plus Paper,543.54,8,0.3,-14.94
60,CA-2024-221552,2024-09-18,2024-09-22,First Class,CG-62976,Customer 527,Consumer,South,North Carolina,Technology,Copiers,Konica Minolta,102.12,2,0.3,-7.59
61,CA-2022-313446,2022-01-20,2022-01-27,Standard Class,CG-45003,Customer 563,Consumer,South,Florida,Office Supplies,Supplies,Fiskars Adult Scissors,422.73,11,0.5,32.97
62,CA-2021-114338,2021-03-01,2021-03-03,Same Day,CG-82384,Customer 418,Consumer,South,Florida,Technology,Copiers,Konica Minolta,11582.4,12,0.0,1838.85
63,CA-2021-605937,2021-11-12,2021-11-19,Standard Class,CG-71894,Customer 250,Corporate,West,Utah,Furniture,Chairs,Global Troy Executive Chair,2785.34,12,0.2,544.32
64,CA-2023-925981,2023-11-07,2023-11-10,Second Class,CG-76550,Customer 274,Consumer,East,Massachusetts,Office Supplies,Art,Boston 16-Shelf Bookcase,261.24,5,0.4,-12.55
65,CA-2021-437408,2021-11-01,2021-11-07,Standard Class,CG-34727,Customer 715,Consumer,South,South Carolina,Technology,Machines,Xerox WorkCentre,2342.52,9,0.4,-31.38
66,CA-2022-930884,2022-10-14,2022-10-19,Second Class,CG-95461,Customer 156,Corporate,South,Florida,Office Supplies,Fasteners,Advantus Push Pins,385.48,7,0.4,56.48
67,CA-2021-529893,2021-07-25,2021-07-28,First Class,CG-95823,Customer 159,Consumer,Central,Kansas,Furniture,Tables,Bretford CR4500,1214.32,8,0.0,367.76
68,CA-2021-896290,2021-06-14,2021-06-18,First Class,CG-73956,Customer 555,Consumer,South,Louisiana,Technology,Machines,HP Designjet T520,5073.61,7,0.3,193.0
69,CA-2021-827712,2021-07-05,2021-07-10,Standard Class,CG-49251,Customer 30,Consumer,Central,Illinois,Office Supplies,Storage,Eldon Fold N Roll Cart,926.88,12,0.0,190.28
70,CA-2023-182804,2023-06-02,2023-06-09,Standard Class,CG-89887,Customer 392,Home Office,Central,Minnesota,Technology,Phones,Apple iPhone 6S,5633.1,11,0.0,616.79
71,CA-2023-810526,2023-08-03,2023-08-07,Second Class,CG-81643,Customer 162,Consumer,East,Pennsylvania,Office Supplies,Binders,Avery Flexi-View Binders,14.63,1,0.5,1.76
72,CA-2023-211834,2023-05-19,2023-05-23,Second Class,CG-41091,Customer 391,Home Office,Central,Missouri,Technology,Machines,Xerox WorkCentre,2445.62,4,0.4,259.24
73,CA-2024-881369,2024-09-10,2024-09-15,Standard Class,CG-75107,Customer 294,Consumer,Central,Texas,Technology,Machines,Xerox WorkCentre,7613.54,11,0.0,2807.23
74,CA-2022-757937,2022-05-29,2022-06-03,Second Class,CG-94717,Customer 41,Corporate,East,Massachusetts,Office Supplies,Envelopes,Poly String & Button Envelopes,857.01,11,0.0,231.3
75,CA-2022-385765,2022-08-28,2022-09-03,Standard Class,CG-31567,Customer 264,Corporate,East,New York,Technology,Phones,Apple iPhone 6S,494.55,3,0.3,4.58
76,CA-2021-943671,2021-10-16,2021-10-19,Second Class,CG-83048,Customer 375,Consumer,South,Florida,Technology,Machines,Brother Intelli-Fax 4750E,7461.79,12,0.4,1046.0
77,CA-2023-345180,2023-01-25,2023-01-30,Second Class,CG-71797,Customer 26,Home Office,West,Nevada,Technology,Phones,Apple iPhone 6S,1649.98,7,0.3,-193.87
78,CA-2023-139019,2023-08-09,2023-08-12,First Class,CG-49893,Customer 505,Consumer,West,Utah,Office Supplies,Envelopes,Poly String & Button Envelopes,133.36,2,0.0,8.78
79,CA-2023-861894,2023-07-19,2023-07-26,Standard Class,CG-30253,Customer 425,Home Office,East,Virginia,Furniture,Tables,Bretford CR4500,3139.94,9,0.4,82.27
80,CA-2021-818987,2021-03-09,2021-03-12,Second Class,CG-58147,Customer 558,Home Office,South,North Carolina,Furniture,Furnishings,"Howard Miller 11"" Wall Clock",1117.87,4,0.3,-134.36
81,CA-2021-449709,2021-09-08,2021-09-11,First Class,CG-41925,Customer 129,Home Office,Central,Illinois,Technology,Phones,Nokia Smart Phone,549.04,4,0.0,37.17
82,CA-2022-251716,2022-03-19,2022-03-21,First Class,CG-27038,Customer 554,Corporate,East,Massachusetts,Furniture,Chairs,Realspace Magellan Chair,949.68,3,0.0,139.65
83,CA-2021-232915,2021-01-31,2021-02-05,Standard Class,CG-65176,Customer 539,Consumer,West,Washington,Furniture,Chairs,Realspace Magellan Chair,503.97,1,0.0,72.01
84,CA-2023-790909,2023-01-12,2023-01-17,Standard Class,CG-78347,Customer 309,Corporate,South,South Carolina,Office Supplies,Storage,Fellowes Super Stor/Drawer,191.76,4,0.0,58.4
85,CA-2023-437758,2023-04-03,2023-04-08,Standard Class,CG-89730,Customer 152,Consumer,South,South Carolina,Office Supplies,Labels,Avery 490 Labels,412.64,8,0.0,150.51
86,CA-2024-219971,2024-05-08,2024-05-14,Standard Class,CG-95814,Customer 667,Home Office,Central,Wisconsin,Furniture,Bookcases,Sauder Forest Hills,3108.0,7,0.0,1018.13
87,CA-2023-427704,2023-04-28,2023-05-04,Standard Class,CG-97177,Customer 262,Corporate,South,Georgia,Office Supplies,Binders,Avery Flexi-View Binders,514.56,12,0.0,82.02
88,CA-2021-714953,2021-06-24,2021-06-29,Standard Class,CG-83608,Customer 576,Corporate,West,Colorado,Furniture,Furnishings,Eldon Jumbo Plastic Desk Accessories,3696.6,6,0.0,904.67
89,CA-2024-729575,2024-09-24,2024-09-27,First Class,CG-50953,Customer 361,Consumer,Central,Kansas,Office Supplies,Storage,Fellowes Super Stor/Drawer,1049.64,12,0.0,408.25
90,CA-2023-392099,2023-09-15,2023-09-20,Standard Class,CG-85248,Customer 232,Corporate,East,Ohio,Office Supplies,Supplies,Acco Remark Laser Pointer,241.04,9,0.3,-27.85
91,CA-2022-250210,2022-01-05,2022-01-11,Standard Class,CG-84228,Customer 674,Corporate,Central,Texas,Office Supplies,Supplies,Acco Remark Laser Pointer,555.3,6,0.0,63.02
92,CA-2023-440140,2023-12-23,2023-12-29,Standard Class,CG-84395,Customer 611,Consumer,West,California,Furniture,Tables,Bretford CR4500,853.9,3,0.3,-48.25
93,CA-2021-326040,2021-06-17,2021-06-24,Standard Class,CG-77154,Customer 117,Corporate,West,Utah,Furniture,Tables,Bevis 36 x 72 Conference Table,1926.45,10,0.5,-49.6
94,CA-2024-416061,2024-09-28,2024-10-03,Standard Class,CG-37686,Customer 786,Consumer,South,Alabama,Technology,Phones,Apple iPhone 6S,4924.6,10,0.0,259.48
95,CA-2023-973835,2023-10-16,2023-10-19,Second Class,CG-97562,Customer 363,Consumer,West,California,Technology,Machines,HP Designjet T520,1467.32,9,0.1,330.28
96,CA-2021-524707,2021-06-09,2021-06-13,First Class,CG-12733,Customer 333,Consumer,West,Nevada,Technology,Phones,Nokia Smart Phone,2235.49,7,0.4,-141.16
97,CA-2023-425346,2023-06-14,2023-06-16,First Class,CG-54500,Customer 227,Corporate,Central,Texas,Office Supplies,Paper,Easy-staple paper,324.73,7,0.0,61.22
98,CA-2023-253557,2023-11-11,2023-11-17,Standard Class,CG-43550,Customer 203,Consumer,West,Arizona,Furniture,Chairs,Realspace Magellan Chair,4659.06,14,0.0,618.23
99,CA-2024-757685,2024-07-10,2024-07-17,Standard Class,CG-51436,Customer 155,Corporate,West,Washington,Office Supplies,Art,Hunt Boston Pencil Sharpener,432.26,8,0.3,47.23
100,CA-2022-159653,2022-07-17,2022-07-23,Standard Class,CG-58331,Customer 294,Consumer,Central,Kansas,Furniture,Furnishings,Tensor Brushed Steel Torchiere,1113.2,5,0.5,-16.06
101,CA-2024-598733,2024-04-03,2024-04-10,Standard Class,CG-75715,Customer 155,Consumer,South,Tennessee,Office Supplies,Storage,Rogers File Cabinet,648.79,8,0.1,105.45
102,CA-2024-396635,2024-08-16,2024-08-21,Standard Class,CG-60779,Customer 419,Corporate,West,Arizona,Technology,Phones,Apple iPhone 6S,6863.36,8,0.0,1217.31
103,CA-2022-711046,2022-11-07,2022-11-14,Standard Class,CG-96980,Customer 145,Corporate,Central,Texas,Office Supplies,Labels,Avery Laser Labels,208.6,5,0.0,34.77
104,CA-2024-543973,2024-02-19,2024-02-25,Standard Class,CG-76648,Customer 371,Consumer,West,Oregon,Technology,Copiers,Canon PC1060 Copier,10795.73,11,0.0,2980.79
105,CA-2023-665990,2023-09-23,2023-09-28,Standard Class,CG-79013,Customer 39,Home Office,East,New Jersey,Technology,Machines,Brother Intelli-Fax 4750E,1056.45,5,0.0,240.54
106,CA-2021-145814,2021-11-29,2021-12-06,Standard Class,CG-63852,Customer 374,Home Office,South,Georgia,Technology,Accessories,Logitech Wireless Mouse,12118.34,13,0.0,3664.76
107,CA-2023-303440,2023-07-09,2023-07-14,Standard Class,CG-58213,Customer 695,Home Office,Central,Kansas,Office Supplies,Binders,Avery Flexi-View Binders,223.6,13,0.5,27.1
108,CA-2023-154714,2023-12-17,2023-12-22,Standard Class,CG-94040,Customer 493,Corporate,South,Alabama,Technology,Copiers,Hewlett Packard LaserJet,12814.88,13,0.0,4556.34
109,CA-2021-196168,2021-06-21,2021-06-25,Second Class,CG-39102,Customer 462,Corporate,West,Oregon,Office Supplies,Storage,Rogers File Cabinet,429.21,9,0.0,146.3
110,CA-2023-979940,2023-02-05,2023-02-10,Standard Class,CG-95191,Customer 344,Consumer,South,Alabama,Furniture,Furnishings,Eldon Jumbo Plastic Desk Accessories,244.96,1,0.3,31.66
111,CA-2021-326130,2021-10-12,2021-10-16,Second Class,CG-29597,Customer 562,Home Office,South,Louisiana,Furniture,Chairs,Global Troy Executive Chair,402.99,1,0.0,22.83
112,CA-2022-977330,2022-08-14,2022-08-19,Standard Class,CG-75513,Customer 612,Home Office,West,Colorado,Office Supplies,Supplies,Fiskars Adult Scissors,33.39,7,0.5,-4.38
113,CA-2023-189772,2023-05-30,2023-06-05,Standard Class,CG-78614,Customer 370,Consumer,East,New Jersey,Furniture,Tables,Bretford CR4500,1772.47,7,0.0,500.78
114,CA-2023-170841,2023-08-21,2023-08-27,Standard Class,CG-55193,Customer 247,Home Office,South,South Carolina,Office Supplies,Supplies,Acco Remark Laser Pointer,491.0,5,0.0,85.92
115,CA-2021-601776,2021-04-01,2021-04-07,Standard Class,CG-92802,Customer 187,Consumer,Central,Illinois,Office Supplies,Storage,Rogers File Cabinet,123.42,3,0.5,17.8
116,CA-2021-669408,2021-03-31,2021-04-03,Second Class,CG-72049,Customer 260,Consumer,Central,Illinois,Furniture,Furnishings,Eldon Jumbo Plastic Desk Accessories,921.69,5,0.4,135.25
117,CA-2021-519453,2021-04-08,2021-04-11,First Class,CG-67637,Customer 396,Corporate,Central,Kansas,Office Supplies,Binders,Avery Flexi-View Binders,281.74,13,0.3,-5.33
118,CA-2023-962287,2023-11-30,2023-12-05,Standard Class,CG-33652,Customer 559,Corporate,South,North Carolina,Furniture,Furnishings,"Howard Miller 11"" Wall Clock",724.2,2,0.4,22.26
119,CA-2022-144412,2022-08-29,2022-09-05,Standard Class,CG-56210,Customer 630,Corporate,Central,Missouri,Technology,Phones,Samsung Galaxy S6,1304.5,3,0.5,-58.1
120,CA-2023-811027,2023-11-17,2023-11-21,First Class,CG-67432,Customer 36,Consumer,South,North Carolina,Technology,Phones,Samsung Galaxy S6,217.18,1,0.0,75.37
121,CA-2023-490084,2023-02-24,2023-02-26,First Class,CG-68188,Customer 782,Consumer,Central,Minnesota,Furniture,Tables,Bretford CR4500,2836.18,11,0.5,381.88
122,CA-2022-505785,2022-10-06,2022-10-09,Second Class,CG-83619,Customer 121,Corporate,Central,Wisconsin,Office Supplies,Art,Hunt Boston Pencil Sharpener,96.25,1,0.0,21.62
123,CA-2023-566732,2023-10-03,2023-10-08,Standard Class,CG-21506,Customer 699,Corporate,Central,Missouri,Technology,Copiers,Canon PC1060 Copier,8222.48,8,0.0,2997.4
124,CA-2021-227257,2021-11-19,2021-11-24,Second Class,CG-36342,Customer 143,Consumer,Central,Minnesota,Office Supplies,Envelopes,Poly String & Button Envelopes,596.78,13,0.3,1.57
125,CA-2024-906527,2024-02-04,2024-02-09,Standard Class,CG-63665,Customer 589,Consumer,Central,Wisconsin,Technology,Phones,Apple iPhone 6S,374.25,7,0.5,2.88
126,CA-2023-235300,2023-08-13,2023-08-17,Second Class,CG-66704,Customer 515,Consumer,West,Nevada,Furniture,Bookcases,Sauder Forest Hills,2413.6,14,0.0,769.27
127,CA-2022-362778,2022-10-23,2022-10-25,First Class,CG-35729,Customer 651,Home Office,East,Pennsylvania,Furniture,Tables,Chromcraft Bull-Nose Table,2369.81,9,0.2,820.14
128,CA-2023-754813,2023-12-29,2024-01-05,Standard Class,CG-89316,Customer 346,Home Office,Central,Indiana,Technology,Accessories,Logitech Wireless Mouse,2273.0,10,0.0,249.85
129,CA-2024-757629,2024-03-27,2024-04-01,Standard Class,CG-81509,Customer 297,Home Office,West,Utah,Furniture,Chairs,HON 5400 Series Task Chair,4425.47,7,0.0,992.69
130,CA-2023-456717,2023-07-18,2023-07-23,Standard Class,CG-89516,Customer 148,Corporate,South,North Carolina,Technology,Copiers,Canon PC1060 Copier,752.32,7,0.5,-8.03
131,CA-2023-359961,2023-01-29,2023-02-03,Standard Class,CG-28465,Customer 100,Consumer,South,Georgia,Office Supplies,Envelopes,Wintrust Envelope Selection,282.56,8,0.0,40.58
132,CA-2021-639728,2021-11-24,2021-11-28,First Class,CG-71186,Customer 511,Corporate,South,Georgia,Technology,Copiers,Konica Minolta,3494.88,4,0.0,784.23
133,CA-2023-726543,2023-07-26,2023-07-26,Same Day,CG-95755,Customer 689,Corporate,South,Alabama,Technology,Phones,Samsung Galaxy S6,712.51,1,0.0,105.79
134,CA-2022-304110,2022-06-26,2022-06-30,Second Class,CG-57516,Customer 567,Corporate,South,Georgia,Technology,Phones,Samsung Galaxy S6,3207.05,7,0.0,800.48
135,CA-2024-513037,2024-02-01,2024-02-08,Standard Class,CG-58915,Customer 348,Home Office,South,South Carolina,Furniture,Furnishings,"Howard Miller 11"" Wall Clock",1139.78,2,0.0,445.97
136,CA-2021-256175,2021-03-24,2021-03-29,Standard Class,CG-89463,Customer 528,Consumer,South,Alabama,Technology,Accessories,Belkin F8N112 Laptop Power Adapter,5621.85,13,0.5,32.61
137,CA-2022-414353,2022-09-05,2022-09-12,Standard Class,CG-72245,Customer 18,Corporate,South,Alabama,Technology,Machines,Brother Intelli-Fax 4750E,4495.95,9,0.5,281.55
138,CA-2024-711868,2024-11-10,2024-11-15,Second Class,CG-72973,Customer 175,Home Office,Central,Kansas,Technology,Phones,Nokia Smart Phone,5794.17,11,0.1,1752.68
139,CA-2024-533020,2024-03-18,2024-03-20,First Class,CG-36724,Customer 421,Home Office,East,New York,Office Supplies,Fasteners,Advantus Push Pins,129.47,8,0.3,-3.15
140,CA-2021-428993,2021-10-10,2021-10-17,Standard Class,CG-32699,Customer 471,Home Office,West,Utah,Office Supplies,Paper,Easy-staple paper,197.34,11,0.5,1.51
141,CA-2023-412071,2023-09-19,2023-09-24,Standard Class,CG-47880,Customer 722,Consumer,Central,Indiana,Technology,Machines,Xerox WorkCentre,1603.98,5,0.1,608.74
142,CA-2024-513697,2024-02-22,2024-02-26,First Class,CG-55237,Customer 792,Consumer,South,North Carolina,Office Supplies,Paper,Hammermill Copy Plus Paper,37.18,2,0.4,4.41
143,CA-2023-829988,2023-06-25,2023-06-30,Second Class,CG-45601,Customer 141,Consumer,West,Oregon,Technology,Phones,Apple iPhone 6S,1889.66,4,0.2,711.57
144,CA-2023-205428,2023-12-24,2023-12-29,Standard Class,CG-99285,Customer 790,Consumer,West,Utah,Office Supplies,Binders,Avery Durable Binders,48.95,7,0.3,3.19
145,CA-2024-193806,2024-08-25,2024-08-31,Standard Class,CG-95498,Customer 588,Consumer,South,Tennessee,Furniture,Tables,Chromcraft Bull-Nose Table,3423.64,11,0.0,1259.14
146,CA-2021-885386,2021-12-27,2021-12-29,First Class,CG-47941,Customer 39,Consumer,South,South Carolina,Office Supplies,Labels,Avery 490 Labels,349.06,7,0.5,-32.85
147,CA-2024-948102,2024-08-06,2024-08-12,Standard Class,CG-24764,Customer 339,Consumer,Central,Wisconsin,Technology,Phones,Apple iPhone 6S,1605.64,3,0.5,-109.42
148,CA-2022-997734,2022-01-17,2022-01-23,Standard Class,CG-93719,Customer 416,Corporate,Central,Missouri,Office Supplies,Paper,Easy-staple paper,721.08,10,0.1,80.35
149,CA-2021-346961,2021-07-15,2021-07-20,Standard Class,CG-68554,Customer 772,Corporate,South,Louisiana,Office Supplies,Envelopes,Poly String & Button Envelopes,201.44,4,0.0,28.46
